,40-rr,40-greedy
0,2.3914149614728046,
1,-116.05841482001196,
2,-96.87856467266795,
3,-101.46789094797523,
4,8.10052269764347,
5,-97.68372180615765,
6,-95.98081246525325,
7,-55.60002695913958,
8,-138.35788124818376,
9,-108.23434832101665,
10,-114.5986943147671,
11,-136.41770493106995,
12,-111.90220741034575,
13,-78.59308240888834,
14,-121.7538804780065,
15,-201.58602566904491,
16,-75.81450188340392,
17,-99.03152382750379,
18,-82.05535820422291,
19,18.17163932929101,
20,9.293679604258429,
21,-75.07011181498753,
22,-62.988791086285644,
23,-37.38670086543374,
24,-22.436415258846054,
25,-112.2642697170155,
26,-68.26040583373079,
27,-117.30296400969391,
28,36.81927480538454,
29,-0.7259786485638813,
30,-115.16531832657856,
31,-4.072733718027877,
32,-130.52451375594822,
33,-199.27427278861197,
34,-281.1287429201319,
35,-163.14039976169326,
36,-93.08104983539631,
37,-182.5953734742806,
38,-28.23772558673727,
39,-221.55513528896958,
40,-186.48537976333216,
41,19.54597402419094,
42,-121.59501862119703,
43,-131.42554523411565,
44,-133.8478183963234,
45,-243.0046951297211,
46,-140.5103561555179,
47,10.553931532701128,
48,25.16507032333959,
49,-37.65004100359691,
50,12.981577375561997,
51,-11.073798429978481,
52,-97.358408175689,
53,22.296970384845906,
54,-21.333672416509046,
55,43.97983915811383,
56,-40.93906835420911,
57,-113.25769995920503,
58,14.206631261474953,
59,115.57078975360079,
60,248.41542797554263,
61,226.66224856082232,
62,-36.53465034213126,
63,-91.17218643190299,
64,-119.03640304327061,
65,-138.27584568256003,
66,-135.06745407508896,
67,-75.98496195804798,
68,-122.54186013920842,
69,11.703886640786209,
70,-51.05298287430737,
71,-115.20404670206919,
72,-325.62838715131863,
73,-82.93704415477883,
74,-102.22737562785007,
75,-212.47586636724833,
76,-132.36644543443256,
77,-397.90837443985185,
78,-245.1414375150915,
79,-335.724812420162,
80,-52.65017875600782,
81,-104.53921878072398,
82,-18.761278943515237,
83,-14.312821723641662,
84,-202.48927458957522,
85,-154.27827828171957,
86,-97.04367423486504,
87,24.126610887060963,
88,-135.38736256134146,
89,-123.9661490034989,
90,-351.60881749396697,
91,-308.16670870600854,
92,-349.61820587472477,
93,-30.092041368795805,
94,-391.1385120139902,
95,-364.1994488219194,
96,-352.10813069750225,
97,-290.59188286633446,
98,-368.4291198356824,
99,-281.9975478678754,
100,-323.3665308782545,
0,,-57.805977765587585
1,,-100.40661069620037
2,,-11.554394018575508
3,,-85.14802839466267
4,,14.580872031214739
5,,-15.84626854144912
6,,24.520385396263194
7,,15.4969724524682
8,,25.196964968818435
9,,13.4404750895811
10,,-29.84918390325757
11,,22.712991306151537
12,,-0.1145624147140154
13,,-15.030624419727062
14,,9.140026681348047
15,,92.4149725657179
16,,-0.5379158389541203
17,,24.714488819342932
18,,27.75948354174625
19,,2.6463173072567656
20,,33.47294570071915
21,,4.81133767883415
22,,54.77952897734352
23,,19.689305742286436
24,,11.560782334515181
25,,5.4476812396115974
26,,-31.610625291343695
27,,-2.043856296192729
28,,-12.726139238983706
29,,-86.06692723186455
30,,21.436976691991276
31,,9.098796705973541
32,,15.031946260755362
33,,55.07032394446307
34,,16.189817360536424
35,,26.469994170702876
36,,-24.294571816341886
37,,-1.4178083272938977
38,,41.33106729551588
39,,-21.24977328649925
40,,-54.91768946276858
41,,4.509831094186751
42,,-26.59434395205804
43,,24.805966907872914
44,,-39.243979356185235
45,,-46.1117944721376
46,,-87.79349197461389
47,,29.39831167468415
48,,-77.49358325312977
49,,-88.76608250643358
50,,-92.17638323621506
51,,5.829463797408351
52,,-11.666270838924362
53,,-41.32550512539814
54,,2.9927688454786505
55,,16.49139527035156
56,,56.130247888922696
57,,28.479398294821294
58,,39.69437098913943
59,,-92.89285096875781
60,,-28.233341320174787
61,,27.036214144774476
62,,34.55140691106715
63,,-27.88252685015135
64,,34.3083575457064
65,,6.065224710534181
66,,-22.8034413386371
67,,35.08796893530794
68,,10.766091994240227
69,,19.102364791942563
70,,-10.763515146426727
71,,-1.733559422128451
72,,-93.04684952170152
73,,-18.839767601184036
74,,-11.260242069021672
75,,-35.381376246139055
76,,-11.993145267587437
77,,-44.155050753390924
78,,-6.461770007014991
79,,262.9221695131548
80,,-29.771644652124223
81,,-2.8693602238059555
82,,-12.134417540592295
83,,-10.98268928444449
84,,0.1819813365932248
85,,28.70318924686012
86,,20.51923566941865
87,,16.385864911202674
88,,16.179838005797876
89,,32.57247477224598
90,,17.99645350478511
91,,45.56476642624142
92,,12.149936838142622
93,,0.0033971722456840325
94,,-35.65238261688668
95,,2.8113818151093994
96,,17.46526217552696
97,,27.229968189415217
98,,39.461050451991724
99,,-83.41315973085747
100,,-84.46939200141057
